fundingRate,APR,perp,day
-0.003762436274668997,-1.3732892402541839,BTC,2023-03-06 04:00:00.000 UTC
-0.003709192760703192,-1.353855357656665,BTC,2023-03-06 05:00:00.000 UTC
-0.0036957325968591764,-1.3489423978535995,BTC,2023-03-01 22:00:00.000 UTC
-0.003668378027463683,-1.3389579800242444,BTC,2023-03-06 06:00:00.000 UTC
-0.0036403840517564546,-1.328740178891106,BTC,2023-03-05 14:00:00.000 UTC
-0.003640213381179515,-1.328677884130523,BTC,2023-03-11 06:00:00.000 UTC
-0.0036074414496904223,-1.3167161291370042,BTC,2023-03-12 21:00:00.000 UTC
-0.003575955778375826,-1.3052238591071765,BTC,2023-03-06 07:00:00.000 UTC
-0.003537774058073184,-1.291287531196712,BTC,2023-03-06 08:00:00.000 UTC
-0.0035198354268856104,-1.2847399308132479,BTC,2023-03-05 13:00:00.000 UTC
-0.003459838033131363,-1.2628408820929475,BTC,2023-03-06 09:00:00.000 UTC
-0.0034062714369805136,-1.2432890744978875,BTC,2023-03-06 10:00:00.000 UTC
-0.0033943263820968095,-1.2389291294653355,BTC,2023-03-11 05:00:00.000 UTC
-0.0033845960348595854,-1.2353775527237487,BTC,2023-03-04 07:00:00.000 UTC
-0.003384306416369066,-1.235271841974709,BTC,2023-03-05 12:00:00.000 UTC
-0.0033568519181059455,-1.2252509501086701,BTC,2023-03-06 11:00:00.000 UTC
-0.003293727170972449,-1.202210417404944,BTC,2023-03-06 12:00:00.000 UTC
-0.0032520306080810013,-1.1869911719495654,BTC,2023-03-06 13:00:00.000 UTC
-0.003240643560365399,-1.1828348995333706,BTC,2023-03-05 11:00:00.000 UTC
-0.0032074152322451887,-1.170706559769494,BTC,2023-03-11 04:00:00.000 UTC
-0.0032039962511614876,-1.169458631673943,BTC,2023-03-01 21:00:00.000 UTC
-0.003187398258384144,-1.1634003643102127,BTC,2023-03-06 14:00:00.000 UTC
-0.003176583482379303,-1.1594529710684456,BTC,2023-03-04 08:00:00.000 UTC
-0.0031308813645922204,-1.1427716980761604,BTC,2023-03-06 15:00:00.000 UTC
-0.003084386957637661,-1.1258012395377464,BTC,2023-03-05 10:00:00.000 UTC
-0.003081811513199967,-1.124861202317988,BTC,2023-03-06 16:00:00.000 UTC
-0.0030192901738406996,-1.1020409134518554,BTC,2023-03-06 17:00:00.000 UTC
-0.00295685058416288,-1.0792504632194513,BTC,2023-03-11 03:00:00.000 UTC
-0.0029543377625514604,-1.078333283331283,BTC,2023-03-06 18:00:00.000 UTC
